Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;193;152;234;100,0;31;31;0;193;0,0;Totalt;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;121;97;145;100,0;28;28;0;121;0,0;1;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;121;96;146;100,0;28;28;0;121;0,0;2;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;121;97;145;100,0;28;28;0;121;0,0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;121;96;146;100,0;28;28;0;121;0,0;Totalt i retning Giæverbukta;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;241;192;290;100,0;28;28;0;241;0,0;Totalt;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;137;110;164;100,0;31;31;0;137;0,0;1;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;133;108;158;100,0;31;31;0;133;0,0;2;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;137;110;164;100,0;31;31;0;137;0,0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;133;108;158;100,0;31;31;0;133;0,0;Totalt i retning Giæverbukta;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;270;218;322;100,0;31;31;0;270;0,0;Totalt;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;136;99;173;100,0;30;30;0;136;0,0;1;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;130;95;165;100,0;30;30;0;130;0,0;2;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;136;99;173;100,0;30;30;0;136;0,0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;130;95;165;100,0;30;30;0;130;0,0;Totalt i retning Giæverbukta;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;266;195;337;100,0;30;30;0;266;0,0;Totalt;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;187;146;228;100,0;31;31;0;187;0,0;1;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;192;148;236;100,0;31;31;0;192;0,0;2;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;187;146;228;100,0;31;31;0;187;0,0;Totalt i retning Sentrum;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;192;148;236;100,0;31;31;0;192;0,0;Totalt i retning Giæverbukta;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;378;292;464;100,0;31;31;0;378;0,0;Totalt;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;197;164;230;100,0;30;30;0;197;0,0;1;-;-;-;-;-;-;-;-
38973B1816966;Tverrforbindelsen sykkel;EV8 S1D100 m2352;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;216;178;254;100,0;30;30;0;216;0,0;2;-;-;-;-;-;-;-;-
