"","Trafikkregistreringspunkt","Navn","Vegreferanse","Fra","Til","År","Måned","Trafikkmengde","Konfidensintervall.start","Konfidensintervall.slutt","Dekningsgrad....","Antall.døgn.total","Antall.døgn.inkludert","Antall.døgn.ugyldig","Ikke.gyldig.lengde","Lengdekvalitetsgrad....","Felt","X..5.6m","X...5.6m","X5.6m...7.6m","X7.6m...12.5m","X12.5m...16.0m","X...16.0m","X16.0m...24.0m","X...24.0m"
"454","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-11-01T00:00+01:00","2022-12-01T00:00+01:00",2022,11,7749,7002,8496,"100",30,30,0,0,"100","Totalt i retning Kvaløya",7273,477,143,188,112,34,33,1
"455","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-11-01T00:00+01:00","2022-12-01T00:00+01:00",2022,11,15229,13778,16680,"100",30,30,0,1,"100","Totalt",14216,1013,330,384,223,77,73,4
"456","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-12-01T00:00+01:00","2023-01-01T00:00+01:00",2022,12,6383,5618,7148,"100",31,31,0,0,"100","1",5986,398,145,132,90,31,29,2
"457","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-12-01T00:00+01:00","2023-01-01T00:00+01:00",2022,12,6707,5888,7526,"100",31,31,0,0,"100","2",6363,344,107,126,89,21,21,0
"458","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-12-01T00:00+01:00","2023-01-01T00:00+01:00",2022,12,6384,5619,7149,"100",31,31,0,1,"100","Totalt i retning Sentrum",5986,398,145,132,90,31,29,2
"459","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-12-01T00:00+01:00","2023-01-01T00:00+01:00",2022,12,6707,5888,7526,"100",31,31,0,0,"100","Totalt i retning Kvaløya",6363,344,107,126,89,21,21,0
"460","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2022-12-01T00:00+01:00","2023-01-01T00:00+01:00",2022,12,13091,11510,14672,"100",31,31,0,1,"100","Totalt",12349,741,252,258,179,52,50,2
"461","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2023-01-01T00:00+01:00","2023-02-01T00:00+01:00",2023,1,5921,5356,6486,"100",31,31,0,0,"100","1",5467,454,167,145,105,36,34,2
"462","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2023-01-01T00:00+01:00","2023-02-01T00:00+01:00",2023,1,6066,5469,6663,"100",31,31,0,0,"100","2",5680,386,119,137,105,25,25,0
"463","64888V1125917","Fartstavle Tverrforbindelsen","EV8 S1D1 m2385","2023-01-01T00:00+01:00","2023-02-01T00:00+01:00",2023,1,5921,5356,6486,"100",31,31,0,0,"100","Totalt i retning Sentrum",5467,454,167,145,105,36,34,2
